id,title,body,pred_department,pred_sentiment,department_confidence,sentiment_confidence,uncertainty_score,diversity_score,business_cost_score,acquisition_score,needs_review_diag,priority,risk_score,true_department,true_sentiment,reviewer_notes
189,Sotto le aspettative - su check in/out,"Siamo stati in struttura due notti. Diversi intoppi su pagamento e check in; il fronte chiarezza e rimasto debole. Servizio da rivedere su piu punti. Per correttezza, comunque su altri aspetti si sono mossi bene. Oltre a questo, ho notato problemi anche su lenzuola e aria condizionata. Non escludo un ritorno, ma solo con miglioramenti concreti.",Reception,neg,0.6310873533461211,0.969025204233068,0.1999437212104055,0.3653069292198779,0.9068671133228804,0.3909373620357422,True,HIGH,0.7436711332288036,Reception,neg,
56,Esperienza da rivedere - alla reception,"La parte prenotazione/garage non ha funzionato bene, soprattutto su rapidita. Onestamente ci sono stati troppi intoppi. Tra l'altro e uscito anche un tema su manutenzione e materasso, quindi il caso tocca piu reparti. Al momento non mi sento di consigliarlo senza riserve.",Reception,neg,0.6898629940640876,0.9665358051104148,0.1718006004127488,0.3856424388293665,0.9053370067877616,0.3826604332127367,True,HIGH,0.728370067877618,Reception,neg,
199,Feedback sul soggiorno,"Soggiorno breve ma intenso. Per pagamento e prenotazione mi aspettavo molto di piu, male anche su rapidita. Mi aspettavo una gestione migliore. Per correttezza, almeno il personale ha provato a rimediare. Tra l'altro e uscito anche un tema su bagno e camera, quindi il caso tocca piu reparti.",Reception,neg,0.5968669424782355,0.9481399907703328,0.2274965333757158,0.2834717405406657,0.9066859129374982,0.3801269714375572,True,HIGH,0.7418591293749833,Reception,neg,
154,Appunti sul soggiorno,"Soggiorno breve ma intenso. La parte doccia/bagno non ha funzionato bene, soprattutto su intervento tecnico. Mi aspettavo una gestione migliore. Oltre a questo, ho notato problemi anche su ristorante e bar. Al momento non mi sento di consigliarlo senza riserve.",Housekeeping,neg,0.7241689055723076,0.9570036667001348,0.1594137138637787,0.3872214436679492,0.919056122267871,0.3796845144858484,True,HIGH,0.715561222678711,F&B,neg,
145,Appunti sul soggiorno - sul buffet,"Viaggio di lavoro, quindi esperienza abbastanza pratica. Diversi intoppi su glutine e porzioni; il fronte temperature e rimasto debole. Bilancio finale deludente. Per correttezza, una parte del servizio e stata curata.",F&B,neg,0.9690078540816548,0.8439896883184863,0.0935012287999295,0.4323527389717367,0.9302553165413276,0.3625074993997513,True,HIGH,0.6025531654132764,F&B,neg,
214,Nel complesso promosso - su colazione e ristorante,"Ci siamo fermati solo per un fine settimana. Per bar e lattosio davvero bene, con qualita gestito in modo ordinato. In generale il servizio ha funzionato. Si sono incrociati pure aspetti su camera e aria condizionata, da coordinare internamente.",F&B,pos,0.5773587906439338,0.7374318300438502,0.342604689656108,0.3042442716772128,0.492598569941213,0.3610953403194604,True,LOW,0.3509856994121297,F&B,pos,
33,Commento rapido - sulla pulizia,"Weekend veloce, recensione scritta a caldo. Per rumore e lenzuola davvero bene, con igiene gestito in modo ordinato. Bilancio finale buono, tornerei. A margine segnalo anche glutine e piatti, non solo l'area principale.",Housekeeping,pos,0.429848632305603,0.9136514662218026,0.3282499507362971,0.3451444762413569,0.4602461213918086,0.3597175425189173,True,LOW,0.2524612139180853,Housekeeping,pos,
106,Commento rapido - sulla stanza,Soggiorno breve ma intenso. Diversi intoppi su rumore e lenzuola; il fronte riordino e rimasto debole. Bilancio finale deludente.,Housekeeping,neg,0.9222306147800684,0.7548562289312065,0.1614565781443624,0.3753287204543488,0.8295995642339762,0.3592468180552811,True,MEDIUM,0.5709956423397627,Housekeeping,neg,
205,Appunti sul soggiorno - sul buffet,"Weekend veloce, recensione scritta a caldo. La parte porzioni/lattosio non ha funzionato bene, soprattutto su gestione allergie. Nel complesso esperienza sotto le aspettative. Spero migliorino perche la struttura ha potenziale.",F&B,neg,0.9375440762499174,0.8260737966159352,0.1181910635670737,0.3586466263750054,0.9301504844075668,0.3527196165775519,True,HIGH,0.6015048440756687,Reception,pos,
43,Commento rapido,"Scrivo il feedback subito dopo il checkout. Per garage e navetta davvero bene, con rapidita gestito in modo ordinato. Nel complesso mi sono trovato bene. Detto questo, qualche passaggio e stato poco chiaro. Si sono incrociati pure aspetti su manutenzione e pulizia, da coordinare internamente.",Housekeeping,pos,0.620190016033221,0.8736441096999386,0.2530829371334202,0.4463085692414488,0.4587184872780074,0.3521777367947463,True,LOW,0.2371848727800736,Reception,pos,
179,Valutazione generale,"Viaggio di lavoro, quindi esperienza abbastanza pratica. Niente da dire su pulizia e materasso, anche igiene in linea. Bilancio finale buono, tornerei. Detto questo, qualche passaggio e stato poco chiaro. A margine segnalo anche colazione e piatti, non solo l'area principale.",Housekeeping,pos,0.4912625503689973,0.9576427464078338,0.2755473516115845,0.4091071026152738,0.4554288500641487,0.3515915766032041,True,LOW,0.2042885006414869,Housekeeping,pos,
215,Recensione post viaggio,"Viaggio di lavoro, quindi esperienza abbastanza pratica. Ho apprezzato garage e check in; sul fronte rapidita il team e stato efficace. Esperienza positiva e abbastanza lineare. A margine segnalo anche bar e ristorante, non solo l'area principale. Se mantengono questo livello, ci tornerei.",Reception,pos,0.4720336899214421,0.9403926473682658,0.293786831355146,0.3780287207161714,0.4422013502418972,0.3487423019408039,True,LOW,0.2220135024189719,Reception,neg,
25,Appunti sul soggiorno,"Soggiorno breve ma intenso. Ho apprezzato navetta e pagamento; sul fronte rapidita il team e stato efficace. Nel complesso mi sono trovato bene. Detto questo, qualche passaggio e stato poco chiaro.",Housekeeping,pos,0.5036651591583238,0.9435271051573844,0.2764038678421459,0.3702864449514987,0.456203976188239,0.3405286626441703,True,LOW,0.2120397618823901,Reception,neg,
197,Appunti sul soggiorno,"Ci siamo fermati solo per un fine settimana. Ho apprezzato ristorante e buffet; sul fronte temperature il team e stato efficace. Nel complesso mi sono trovato bene. Detto questo, qualche passaggio e stato poco chiaro. Tra l'altro e uscito anche un tema su bagno e asciugamani, quindi il caso tocca piu reparti.",F&B,pos,0.6905016600494882,0.8666847367967132,0.2214068015768993,0.4291583264503319,0.4800599201622621,0.3354628827560016,True,LOW,0.2255992016226208,F&B,pos,
161,Soggiorno piacevole,"La parte fattura/documenti mi ha convinto, soprattutto per assistenza. Direi promosso, anche oltre le aspettative. Detto questo, restano margini di miglioramento. Oltre a questo, ho notato problemi anche su doccia e lenzuola. Per me esperienza complessivamente valida.",Reception,pos,0.6686001142458108,0.930547770637705,0.2004260575582421,0.4854375597834413,0.438231966689635,0.3334906900520804,True,LOW,0.1823196668963496,Reception,neg,
60,Valutazione generale - in camera,"Soggiorno breve ma intenso. Per rumore e asciugamani davvero bene, con comfort gestito in modo ordinato. Direi promosso, anche oltre le aspettative. A margine segnalo anche prenotazione e attesa, non solo l'area principale. Se mantengono questo livello, ci tornerei.",Housekeeping,pos,0.6228366935746927,0.9479356108004046,0.2146138478124513,0.4410333566739518,0.4530088129333767,0.3302186934950865,True,LOW,0.1800881293337662,Reception,pos,
187,Meglio del previsto,"Siamo stati in struttura due notti. Per lenzuola e asciugamani davvero bene, con comfort gestito in modo ordinato. Bilancio finale buono, tornerei. Direi che il soggiorno e stato centrato.",Housekeeping,pos,0.6714407166014954,0.962332555527688,0.1831133639354083,0.4783402405666694,0.4507481485814599,0.325208383853997,True,LOW,0.1574814858145982,Housekeeping,pos,
52,Buona esperienza,"Ho apprezzato pulizia e doccia; sul fronte silenzio il team e stato efficace. Bilancio finale buono, tornerei. Detto questo, in certe fasce orarie il servizio rallenta. Si sono incrociati pure aspetti su prenotazione e garage, da coordinare internamente.",Housekeeping,pos,0.65191357264904,0.9043943999147244,0.2218460137181177,0.3952215766334156,0.455620099862904,0.3206134998216643,True,LOW,0.2062009986290399,Housekeeping,pos,
32,Recensione post viaggio,"Siamo stati in struttura due notti. Niente da dire su bar e piatti, anche servizio in linea. Bilancio finale buono, tornerei. A margine segnalo anche check out e documenti, non solo l'area principale. Direi che il soggiorno e stato centrato.",Reception,pos,0.5961135982167874,0.9643458682605732,0.2197702667613197,0.4101401451886654,0.4374029876549936,0.3204077744682582,True,LOW,0.1740298765499354,Reception,pos,
